界面名称,资源名称,类型,建议尺寸,用途/说明,目标文件名,存放路径,备注
HomeView,Background,图片,1080x1920,主界面背景,home_bg.png,assets/app-bundle/app-view/,水墨风竹林或小屋
HomeView,Panda,图片/角色,256x256,熊猫形象,panda_home.png,assets/app-bundle/app-view/,可静态后续可加动画
HomeView,TopBar_Bg,图片,800x80,顶部货币栏背景,topbar_bg.png,assets/app-bundle/app-view/,与整体风格协调
HomeView,CoinIcon,图片,48x48,元宝图标,coin_icon.png,assets/app-bundle/app-view/,货币栏
HomeView,CoinLabel,无,无,元宝数值文本,无,无,使用字体即可
HomeView,PowerIcon,图片,48x48,体力图标,power_icon.png,assets/app-bundle/app-view/,货币栏
HomeView,PowerLabel,无,无,体力数值文本,无,无,使用字体即可
HomeView,StartButton,图片,320x100,主按钮,start_btn.png,assets/app-bundle/app-view/,"开始悟境"
HomeView,SettingBtn,图片,80x80,设置按钮,setting_btn.png,assets/app-bundle/app-view/,功能按钮区
HomeView,ShopBtn,图片,80x80,商店按钮,shop_btn.png,assets/app-bundle/app-view/,功能按钮区
HomeView,SignBtn,图片,80x80,签到按钮,sign_btn.png,assets/app-bundle/app-view/,功能按钮区
HomeView,AchievementBtn,图片,80x80,成就按钮,achievement_btn.png,assets/app-bundle/app-view/,功能按钮区
HomeView,Welcome,无,无,欢迎语文本,无,无,使用字体即可

节点名,父节点,类型,组件,资源,属性,备注
HomeView,,Node,,,"{width:1080,height:1920,anchorX:0.5,anchorY:0.5,x:0,y:0}",主界面根节点
Background,HomeView,Sprite,,home_bg.png,"{x:0,y:0,width:1080,height:1920,anchorX:0.5,anchorY:0.5}",主界面背景
Panda,HomeView,Sprite,,panda_home.png,"{x:0,y:400,width:256,height:256,anchorX:0.5,anchorY:0.5}",熊猫形象
TopBar_Bg,HomeView,Sprite,,topbar_bg.png,"{x:0,y:860,width:800,height:80,anchorX:0.5,anchorY:0.5}",顶部货币栏背景
CoinIcon,TopBar_Bg,Sprite,,coin_icon.png,"{x:-300,y:0,width:48,height:48,anchorX:0.5,anchorY:0.5}",元宝图标
CoinLabel,TopBar_Bg,Label,,,"{x:-240,y:0,width:100,height:40,anchorX:0.5,anchorY:0.5}",元宝数值文本
PowerIcon,TopBar_Bg,Sprite,,power_icon.png,"{x:100,y:0,width:48,height:48,anchorX:0.5,anchorY:0.5}",体力图标
PowerLabel,TopBar_Bg,Label,,,"{x:160,y:0,width:100,height:40,anchorX:0.5,anchorY:0.5}",体力数值文本
StartButton,HomeView,Button,Button,start_btn.png,"{x:0,y:-200,width:320,height:100,anchorX:0.5,anchorY:0.5}",主按钮
SettingBtn,HomeView,Button,Button,setting_btn.png,"{x:-300,y:-600,width:80,height:80,anchorX:0.5,anchorY:0.5}",设置按钮
ShopBtn,HomeView,Button,Button,shop_btn.png,"{x:-100,y:-600,width:80,height:80,anchorX:0.5,anchorY:0.5}",商店按钮
SignBtn,HomeView,Button,Button,sign_btn.png,"{x:100,y:-600,width:80,height:80,anchorX:0.5,anchorY:0.5}",签到按钮
AchievementBtn,HomeView,Button,Button,achievement_btn.png,"{x:300,y:-600,width:80,height:80,anchorX:0.5,anchorY:0.5}",成就按钮
Welcome,HomeView,Label,,,"{x:0,y:700,width:600,height:40,anchorX:0.5,anchorY:0.5}",欢迎语文本 
